book, subhead, chapter, verseNumber, verse
Genesis,,1,01-002-001,Thus the heavens and the earth were completed, and all their hosts. 
Genesis,,1,01-002-002,And on the seventh day God completed His work which He had done, and He rested on the seventh day from all His work which He had done. 
Genesis,,1,01-002-003,Then God blessed the seventh day and sanctified it, because on it He rested from all His work which God had created in making it. 
Genesis,,1,01-002-004,These are the generations of the heavens and the earth when they were created, in the day that Yahweh God made earth and heaven. 
Genesis,,1,01-002-005,Now no shrub of the field was yet in the earth, and no plant of the field had yet grown, for Yahweh God had not caused it to rain upon the earth, and there was no man to cultivate the ground. 
Genesis,,1,01-002-006,But a stream would rise from the earth and water the whole surface of the ground. 
Genesis,,1,01-002-007,Then Yahweh God formed man of dust from the ground and breathed into his nostrils the breath of life; and so the man became a living being. 
Genesis,,1,01-002-008,And Yahweh God planted a garden in Eden, toward the east; and there He placed the man whom He had formed. 
Genesis,,1,01-002-009,And out of the ground Yahweh God caused to grow every tree that is desirable in appearance and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil. 
Genesis,,1,01-002-010,Now a river went out of Eden to water the garden; and from there it divided and became four rivers. 
Genesis,,1,01-002-011,The name of the first is Pishon; it is the one that went around the whole land of Havilah, where there is gold. 
Genesis,,1,01-002-012,Now the gold of that land is good; the bdellium and the onyx stone are there. 
Genesis,,1,01-002-013,And the name of the second river is Gihon; it is the one that went around the whole land of Cush. 
Genesis,,1,01-002-014,And the name of the third river is Tigris; it is the one that went east of Asshur. And the fourth river is the Euphrates. 
Genesis,,1,01-002-015,Then Yahweh God took the man and set him in the garden of Eden to cultivate it and keep it. 
Genesis,,1,01-002-016,And Yahweh God commanded the man, saying, “From any tree of the garden you may surely eat; 
Genesis,,1,01-002-017,but from the tree of the knowledge of good and evil, you shall not eat from it; for in the day that you eat from it you will surely die.” 
Genesis,,1,01-002-018,Then Yahweh God said, “It is not good for the man to be alone; I will make him a helper suitable for him.” 
Genesis,,1,01-002-019,And out of the ground Yahweh God had formed every beast of the field and every bird of the sky, and He brought each to the man to see what he would call it; and whatever the man called a living creature, that was its name. 
Genesis,,1,01-002-020,And the man gave names to all the cattle and to the birds of the sky and to every beast of the field; but for Adam there was not found a helper suitable for him. 
Genesis,,1,01-002-021,So Yahweh God caused a deep sleep to fall upon the man, and he slept; then He took one of his ribs and closed up the flesh at that place. 
Genesis,,1,01-002-022,And Yahweh God fashioned the rib, which He had taken from the man, into a woman, and He brought her to the man. 
Genesis,,1,01-002-023,Then the man said,
Genesis,,1,01-002-024,Therefore a man shall leave his father and his mother, and cleave to his wife; and they shall become one flesh. 
Genesis,,1,01-002-025,And the man and his wife were both naked and were not ashamed. 